title,CODE,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
Are Baseline Pain Sensitivity and Genetic Factors Associated With Acute and Chronic Post-Thoracotomy,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,19.0,30.0,19.0,10.0
A Comparison of Effects on Respiratory Function of Sugammadex and Neostigmine in the Reversal of Mod,DRUG DISPOSITION,16.0,11.0,18.0,10.0,17.0,2.0,19.0
The Influence of an International Teaching Program on the Use of Regional Anesthesia for Cesarean Se,OBSTETRIC ANESTHESIA,5.0,21.0,18.0,19.0,18.0,6.0,31.0
Cerebral Oximetry and Recovery in Thoracic Surgery,GERIATRIC ANESTHESIA,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Review of Case Reports of Spinal Hematomas,REGIONAL ANESTHESIA AND ACUTE PAIN,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Optimal PONV Management - SCOR Database,AMBULATORY ANESTHESIA,17.0,20.0,19.0,27.0,2.0,19.0,10.0
Effect of a Small Dose of Fentanyl on Intraoperative Conditions; Recovery Times and Postoperative Si,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Regional Anesthesia and Postoperative Pain Outcomes in the SAMBA Clinical Outcomes Registry,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
PRACTICE Patterns for Ambulatory Meniscectomies: An Analysis of Data From the Anesthesia Quality Ins,AMBULATORY ANESTHESIA,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Effect-Site Concentration of Propofol to Insert the Supreme Laryngeal Mask Airway During Target-Cont,AMBULATORY ANESTHESIA,6.0,6.0,4.0,5.0,20.0,23.0,15.0
Perioperative Glucose Control After Implementation of a New Perioperative Diabetes Protocol,AMBULATORY ANESTHESIA,17.0,4.0,18.0,11.0,2.0,16.0,31.0
Premedication With Oral Alprazolam and Melatonin Combination; a Comparison With Wither Alone: A Rand,AMBULATORY ANESTHESIA,6.0,20.0,19.0,27.0,20.0,23.0,15.0
Perioperative Analgesic and Anxiolytic Effect of Melatonin in Patients Undergoing Third Molar Teeth ,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
A Prospective; Randomized; Double-Blind; Multicenter Phase III Trial to Evaluate the Therapeutic Eff,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
